Date,Direction,Confidence,Entry,Exit,Shares,Position $,Position %,Stop Loss,Stopped Out,Return %,P&L $,Signals
2025-01-21,LONG,100.0%,$42.97,$43.42,155,$6667,66.7%,$41.69,NO,+1.04%,$+69,RGTI:-0.9% | QBTS:-1.7% | SOUN:-0.7%
2025-01-28,LONG,66.7%,$41.27,$41.45,80,$3333,33.3%,$40.03,NO,+0.46%,$+15,RGTI:-1.3% | QUBT:-1.9% | INOD:+1.5%
2025-02-03,LONG,100.0%,$41.18,$40.45,161,$6667,66.7%,$39.94,NO,-1.76%,$-117,RGTI:-0.6% | INOD:-0.6% | AEYE:-0.8%
2025-02-04,LONG,100.0%,$41.41,$41.17,161,$6667,66.7%,$40.16,NO,-0.56%,$-37,RGTI:-1.2% | QBTS:-0.7% | IONQ:-0.5% | BBAI:-0.8%
2025-02-05,LONG,75.0%,$42.45,$42.48,117,$5000,50.0%,$41.18,NO,+0.07%,$+4,QBTS:-0.7% | QUBT:-0.5% | SOUN:+0.7% | BBAI:-1.9%
2025-02-06,LONG,100.0%,$42.95,$43.13,155,$6667,66.7%,$41.67,NO,+0.41%,$+27,RGTI:-0.6% | QUBT:-0.5%
2025-02-12,LONG,100.0%,$43.12,$42.99,154,$6667,66.7%,$41.82,NO,-0.29%,$-19,QBTS:-0.7% | BBAI:-0.6% | AEYE:-0.5%
2025-02-13,LONG,100.0%,$44.30,$44.41,150,$6667,66.7%,$42.97,NO,+0.25%,$+16,RGTI:-1.1% | QBTS:-1.2% | IONQ:-0.5% | QUBT:-0.6% | SOUN:-0.6%
2025-02-26,LONG,75.0%,$38.72,$39.86,129,$5000,50.0%,$37.56,NO,+2.94%,$+147,RGTI:-0.8% | IONQ:-5.1% | QUBT:-0.7% | INOD:+0.6%
2025-03-11,LONG,100.0%,$29.95,$30.97,222,$6667,66.7%,$29.05,NO,+3.41%,$+226,QBTS:-2.1% | QUBT:-0.5% | AEYE:-0.6%
2025-03-14,LONG,100.0%,$30.89,$30.94,215,$6667,66.7%,$29.97,NO,+0.15%,$+10,RGTI:-0.8% | QBTS:-1.4% | SOUN:-0.6% | BBAI:-0.6%
2025-03-20,LONG,100.0%,$30.80,$29.87,216,$6667,66.7%,$29.87,YES,-3.00%,$-200,QBTS:-1.7% | QUBT:-4.6% | BBAI:-0.5%
2025-03-24,LONG,100.0%,$33.02,$33.24,201,$6667,66.7%,$32.03,NO,+0.67%,$+44,RGTI:-0.5% | QUBT:-0.7% | SOUN:-0.6% | BBAI:-0.5%
2025-03-25,LONG,100.0%,$33.82,$33.32,197,$6667,66.7%,$32.81,NO,-1.48%,$-98,RGTI:-0.6% | QBTS:-0.5% | AEYE:-1.6%
2025-03-27,LONG,100.0%,$31.00,$30.77,215,$6667,66.7%,$30.07,NO,-0.76%,$-50,QBTS:-0.7% | AEYE:-1.5%
2025-03-28,LONG,66.7%,$28.27,$27.42,117,$3333,33.3%,$27.42,YES,-3.00%,$-99,QUBT:-0.6% | BBAI:-0.7% | INOD:+0.6%
2025-04-01,LONG,100.0%,$29.49,$28.61,226,$6667,66.7%,$28.61,YES,-3.00%,$-200,RGTI:-0.5% | QUBT:-0.8% | SOUN:-0.6%
2025-04-03,LONG,100.0%,$25.02,$24.27,266,$6667,66.7%,$24.27,YES,-3.00%,$-200,QUBT:-0.5% | INOD:-0.9%
2025-04-04,LONG,100.0%,$20.34,$19.72,327,$6667,66.7%,$19.72,YES,-3.00%,$-199,RGTI:-0.8% | QBTS:-0.7% | BBAI:-1.1%
2025-04-22,LONG,100.0%,$23.95,$24.62,278,$6667,66.7%,$23.24,NO,+2.78%,$+185,IONQ:-0.5% | BBAI:-0.9% | AEYE:-1.0%
2025-04-30,LONG,100.0%,$28.55,$28.78,233,$6667,66.7%,$27.69,NO,+0.82%,$+55,QUBT:-0.6% | AEYE:-1.4%
2025-05-01,LONG,100.0%,$28.00,$29.32,238,$6667,66.7%,$27.16,NO,+4.71%,$+314,INOD:-0.6% | AEYE:-0.5%
2025-05-06,LONG,100.0%,$29.18,$28.48,228,$6667,66.7%,$28.31,NO,-2.42%,$-161,RGTI:-0.6% | BBAI:-0.7%
2025-05-09,LONG,100.0%,$29.48,$32.92,226,$6667,66.7%,$28.59,NO,+11.70%,$+780,QBTS:-0.7% | IONQ:-0.6% | AEYE:-0.6%
2025-05-20,LONG,100.0%,$35.35,$34.62,188,$6667,66.7%,$34.29,NO,-2.07%,$-137,RGTI:-0.5% | INOD:-0.6%
2025-05-21,LONG,100.0%,$33.95,$34.08,196,$6667,66.7%,$32.93,NO,+0.40%,$+26,QBTS:-1.0% | QUBT:-0.6%
2025-05-23,LONG,66.7%,$32.96,$34.49,101,$3333,33.3%,$31.98,NO,+4.64%,$+155,QBTS:-1.4% | QUBT:+0.6% | INOD:-0.5%
2025-05-27,LONG,66.7%,$35.51,$35.67,93,$3333,33.3%,$34.44,NO,+0.45%,$+15,IONQ:-0.8% | QUBT:+0.5% | BBAI:-0.8%
2025-06-03,LONG,100.0%,$36.66,$36.79,181,$6667,66.7%,$35.56,NO,+0.35%,$+23,QBTS:-0.6% | QUBT:-0.8%
2025-06-04,LONG,75.0%,$36.85,$37.23,135,$5000,50.0%,$35.74,NO,+1.02%,$+51,IONQ:-0.5% | QUBT:-0.8% | BBAI:-1.2% | AEYE:+0.5%
2025-06-16,LONG,100.0%,$37.10,$37.34,179,$6667,66.7%,$35.99,NO,+0.65%,$+43,QUBT:-0.7% | BBAI:-0.6%
2025-06-20,LONG,100.0%,$36.35,$36.37,183,$6667,66.7%,$35.26,NO,+0.04%,$+3,QBTS:-0.6% | SOUN:-0.6%
2025-06-23,LONG,100.0%,$38.21,$38.45,174,$6667,66.7%,$37.06,NO,+0.65%,$+43,QBTS:-1.7% | QUBT:-0.9% | BBAI:-0.7%
2025-07-02,LONG,100.0%,$41.27,$41.74,161,$6667,66.7%,$40.03,NO,+1.15%,$+76,RGTI:-1.1% | IONQ:-0.7% | QUBT:-0.9% | SOUN:-0.5%
2025-07-03,LONG,100.0%,$42.33,$41.80,157,$6667,66.7%,$41.06,NO,-1.25%,$-83,RGTI:-1.9% | QBTS:-1.0% | IONQ:-1.0% | QUBT:-1.7% | INOD:-0.8%
2025-07-17,LONG,100.0%,$43.68,$43.82,152,$6667,66.7%,$42.37,NO,+0.32%,$+21,RGTI:-0.8% | QUBT:-0.7% | SOUN:-0.7% | AEYE:-0.6%
2025-07-18,LONG,100.0%,$43.41,$43.58,153,$6667,66.7%,$42.10,NO,+0.39%,$+26,QBTS:-0.6% | QUBT:-1.0% | AEYE:-0.6%
2025-07-28,LONG,66.7%,$45.08,$45.49,73,$3333,33.3%,$43.73,NO,+0.92%,$+30,QBTS:+1.0% | INOD:-2.3% | AEYE:-0.6%
2025-08-13,LONG,100.0%,$47.45,$46.92,140,$6667,66.7%,$46.03,NO,-1.12%,$-74,RGTI:-0.9% | QBTS:-1.1% | SOUN:-0.5% | BBAI:-0.5%
2025-08-14,LONG,75.0%,$47.11,$47.23,106,$5000,50.0%,$45.70,NO,+0.27%,$+13,RGTI:-0.7% | QBTS:-0.7% | QUBT:+0.7% | SOUN:-0.8%
2025-08-15,LONG,100.0%,$46.57,$46.40,143,$6667,66.7%,$45.17,NO,-0.36%,$-24,QBTS:-0.6% | QUBT:-1.2% | INOD:-0.6%
2025-09-08,LONG,66.7%,$46.59,$46.75,71,$3333,33.3%,$45.19,NO,+0.34%,$+11,QUBT:-0.6% | INOD:-0.5% | AEYE:+0.9%
2025-09-10,LONG,100.0%,$47.13,$47.59,141,$6667,66.7%,$45.72,NO,+0.99%,$+66,INOD:-0.6% | AEYE:-0.8%
2025-09-12,LONG,100.0%,$48.38,$48.82,137,$6667,66.7%,$46.93,NO,+0.91%,$+60,RGTI:-0.6% | QBTS:-0.8% | IONQ:-0.6%
2025-09-16,LONG,100.0%,$49.58,$49.45,134,$6667,66.7%,$48.09,NO,-0.26%,$-17,SOUN:-0.6% | INOD:-1.4%
2025-09-17,LONG,100.0%,$49.79,$50.38,133,$6667,66.7%,$48.30,NO,+1.18%,$+78,QBTS:-0.8% | BBAI:-0.7% | AEYE:-0.9%
2025-09-22,LONG,100.0%,$52.38,$52.40,127,$6667,66.7%,$50.81,NO,+0.03%,$+2,RGTI:-0.6% | QBTS:-1.4%
2025-09-25,LONG,100.0%,$49.94,$50.20,133,$6667,66.7%,$48.44,NO,+0.52%,$+35,QBTS:-1.6% | QUBT:-1.0%
2025-09-29,LONG,100.0%,$51.21,$51.20,130,$6667,66.7%,$49.67,NO,-0.01%,$-1,RGTI:-0.7% | AEYE:-0.8%
2025-10-03,LONG,100.0%,$52.23,$53.70,127,$6667,66.7%,$50.67,NO,+2.80%,$+186,QBTS:-0.7% | BBAI:-1.5%
2025-10-14,LONG,66.7%,$50.68,$52.07,65,$3333,33.3%,$49.16,NO,+2.74%,$+90,IONQ:+0.6% | BBAI:-0.6% | INOD:-1.0%
2025-10-31,LONG,100.0%,$58.36,$60.00,114,$6667,66.7%,$56.61,NO,+2.81%,$+187,QBTS:-0.6% | QUBT:-0.5%
2025-11-04,LONG,100.0%,$54.44,$55.34,122,$6667,66.7%,$52.81,NO,+1.65%,$+110,QBTS:-0.7% | BBAI:-0.6%
2025-11-19,LONG,66.7%,$52.40,$52.95,63,$3333,33.3%,$50.83,NO,+1.05%,$+35,RGTI:-0.9% | QBTS:-0.6% | AEYE:+1.0%
